,Quarter,Tm,Detail,MIN,BUF
0,1.0,Vikings,Chuck Foreman 4 yard rush (Fred Cox kick),7,0
1,1.0,Vikings,Jim Lash offensive fumble recovery in end zone (Fred Cox kick),14,0
2,2.0,Vikings,Chuck Foreman 1 yard rush (Fred Cox kick),21,0
3,2.0,Bills,O.J. Simpson 24 yard rush (John Leypoldt kick),21,7
4,3.0,Vikings,Chuck Foreman 1 yard pass from Fran Tarkenton (Fred Cox kick),28,7
5,3.0,Vikings,Chuck Foreman 6 yard pass from Fran Tarkenton (Fred Cox kick),35,7
6,3.0,Bills,O.J. Simpson 64 yard pass from Gary Marangi,35,13
