,Quarter,Time,Tm,Detail,PIT,IND
0,2.0,14:52,Colts,Donte Moncrief 60 yard pass from Jacoby Brissett (Adam Vinatieri kick),0,7
1,2.0,5:51,Colts,Adam Vinatieri 48 yard field goal,0,10
2,2.0,0:30,Steelers,Chris Boswell 41 yard field goal,3,10
3,3.0,12:46,Colts,Chester Rogers 61 yard pass from Jacoby Brissett (Adam Vinatieri kick),3,17
4,3.0,7:47,Steelers,JuJu Smith-Schuster 7 yard pass from Ben Roethlisberger (Chris Boswell kick failed),9,17
5,4.0,11:52,Steelers,Vance McDonald 7 yard pass from Ben Roethlisberger (Martavis Bryant pass from Ben Roethlisberger),17,17
6,4.0,0:00,Steelers,Chris Boswell 33 yard field goal,20,17
