,Quarter,Tm,Detail,MIA,BUF
0,1.0,Dolphins,Larry Csonka 1 yard rush (Garo Yepremian kick),7,0
1,2.0,Dolphins,Garo Yepremian 39 yard field goal,10,0
2,2.0,Dolphins,Paul Warfield 17 yard pass from Bob Griese (Garo Yepremian kick),17,0
