,Quarter,Tm,Detail,ATL,NOR
0,2,Falcons,Norm Johnson 25 yard field goal,3,0
1,2,Saints,Gill Fenerty 2 yard rush (Morten Andersen kick),3,7
2,3,Saints,Morten Andersen 39 yard field goal,3,10
3,3,Falcons,Michael Haynes 80 yard pass from Chris Miller (Norm Johnson kick),10,10
4,3,Saints,Morten Andersen 31 yard field goal,10,13
5,4,Saints,Fred McAfee 1 yard rush (Morten Andersen kick),10,20
6,4,Falcons,Norm Johnson 27 yard field goal,13,20
7,4,Falcons,Michael Haynes 18 yard pass from Chris Miller (Norm Johnson kick),20,20
8,OT,Falcons,Norm Johnson 50 yard field goal,23,20
