,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,Gary Anderson 22 yard field goal,0,3
1,2.0,Oilers,Tony Zendejas 34 yard field goal,3,3
2,3.0,Oilers,Curtis Duncan 14 yard pass from Warren Moon (Tony Zendejas kick),10,3
3,3.0,Oilers,Drew Hill 42 yard pass from Warren Moon (Tony Zendejas kick),17,3
4,4.0,Oilers,Tony Zendejas 20 yard field goal,20,3
5,4.0,Oilers,Tony Zendejas 40 yard field goal,23,3
