,Quarter,Tm,Detail,PIT,SDG
0,1.0,Chargers,John Jefferson 16 yard pass from Dan Fouts (Mike Wood kick),0,7
1,2.0,Chargers,Bob Klein 6 yard pass from Dan Fouts (Mike Wood kick),0,14
2,2.0,Chargers,Bo Matthews 2 yard rush (Mike Wood kick),0,21
3,3.0,Steelers,Rocky Bleier 2 yard rush (Matt Bahr kick),7,21
4,3.0,Chargers,Woodrow Lowe 77 yard interception return (Mike Wood kick),7,28
5,4.0,Chargers,Hank Bauer 2 yard rush (Mike Wood kick),7,35
