,Quarter,Tm,Detail,RAM,BUF
0,1.0,Rams,David Ray 21 yard field goal,3,0
1,2.0,Rams,David Ray 19 yard field goal,6,0
2,2.0,Rams,Willie Ellison 4 yard rush (David Ray kick),13,0
3,2.0,Rams,David Ray 46 yard field goal,16,0
4,4.0,Rams,David Ray 21 yard field goal,19,0
