,Quarter,Tm,Detail,WAS,GNB
0,1.0,Redskins,Chip Lohmiller 33 yard field goal,3,0
1,1.0,Redskins,Art Monk 21 yard pass from Doug Williams (Chip Lohmiller kick),10,0
2,1.0,Packers,Keith Woodside 49 yard pass from Don Majkowski (Max Zendejas kick),10,7
3,2.0,Packers,Max Zendejas 34 yard field goal,10,10
4,3.0,Packers,Keith Woodside 8 yard pass from Don Majkowski (Max Zendejas kick),10,17
5,3.0,Redskins,Kelvin Bryant 13 yard pass from Doug Williams (Chip Lohmiller kick),17,17
6,4.0,Redskins,Chip Lohmiller 20 yard field goal,20,17
