,Quarter,Tm,Detail,AKR,CHI
0,1.0,Bears,Joey Sternaman unknown yard rush (Joey Sternaman kick),0,7
1,1.0,Bears,George Halas unknown yard rush,0,13
2,3.0,Pros,Walt Kreinheder unknown yard field goal,3,13
3,4.0,Pros,Carl Cramer unknown yard rush (Walt Kreinheder kick),10,13
4,4.0,Bears,Pete Stinchcomb unknown yard rush (Joey Sternaman kick),10,20
