,Quarter,Tm,Detail,DEN,NYG
0,1.0,Giants,Bob Tucker 13 yard rush,0,6
1,2.0,Giants,Joe Orduna 1 yard rush (Pete Gogolak kick),0,13
2,2.0,Giants,Jim Files 37 yard interception return,0,19
3,3.0,Broncos,Riley Odoms 14 yard pass from Bobby Anderson (Jim Turner kick),7,19
4,3.0,Broncos,Jim Turner 40 yard field goal,10,19
5,4.0,Giants,Ron Johnson 11 yard pass from Norm Snead (Pete Gogolak kick),10,26
6,4.0,Broncos,Floyd Little 55 yard rush (Jim Turner kick),17,26
7,4.0,Giants,Pete Gogolak 27 yard field goal,17,29
