,Quarter,Tm,Detail,PIT,NYG
0,2.0,Giants,Pat Summerall 21 yard field goal,0,3
1,2.0,Giants,Pat Summerall 27 yard field goal,0,6
2,2.0,Steelers,Jimmy Orr 4 yard pass from Bobby Layne (Bobby Layne kick),7,6
3,3.0,Giants,Pat Summerall 29 yard field goal,7,9
4,4.0,Steelers,Tom Tracy 45 yard pass from Bobby Layne (Bobby Layne kick),14,9
