,Quarter,Time,Tm,Detail,WAS,CAR
0,1.0,10:45,Panthers,Curtis Samuel 4 yard pass from Kyle Allen (Joey Slye kick),0,7
1,1.0,5:25,Panthers,D.J. Moore 13 yard pass from Kyle Allen (Joey Slye kick),0,14
2,1.0,3:12,Redskins,Dustin Hopkins 25 yard field goal,3,14
3,2.0,11:22,Redskins,Dustin Hopkins 42 yard field goal,6,14
4,2.0,4:36,Redskins,Derrius Guice 1 yard rush (pass failed),12,14
5,3.0,8:37,Redskins,Dustin Hopkins 36 yard field goal,15,14
6,4.0,9:11,Redskins,Derrius Guice 1 yard rush (Dustin Hopkins kick),22,14
7,4.0,4:31,Redskins,Adrian Peterson 12 yard rush (Dustin Hopkins kick),29,14
8,4.0,1:54,Panthers,Kyle Allen 17 yard rush (Joey Slye kick),29,21
