,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Horst Muhlmann 41 yard field goal,0,3
1,2.0,Steelers,Terry Bradshaw 12 yard rush (Roy Gerela kick),7,3
2,2.0,Steelers,Roy Gerela 17 yard field goal,10,3
3,3.0,Bengals,Horst Muhlmann 32 yard field goal,10,6
4,3.0,Bengals,Horst Muhlmann 20 yard field goal,10,9
5,4.0,Bengals,Horst Muhlmann 32 yard field goal,10,12
6,4.0,Bengals,Horst Muhlmann 34 yard field goal,10,15
