,Quarter,Tm,Detail,PIT,DAL
0,1.0,Cowboys,Sam Baker 53 yard field goal,0,3
1,1.0,Cowboys,Don Meredith 2 yard rush,0,9
2,2.0,Steelers,Buddy Dial 55 yard pass from Ed Brown (Lou Michaels kick),7,9
3,2.0,Steelers,Preston Carpenter 28 yard pass from Ed Brown (Lou Michaels kick),14,9
4,2.0,Steelers,Lou Michaels 24 yard field goal,17,9
5,3.0,Cowboys,Sam Baker 46 yard field goal,17,12
6,3.0,Cowboys,Don Meredith 4 yard rush (Sam Baker kick),17,19
7,4.0,Steelers,Theron Sapp 24 yard rush (Lou Michaels kick),24,19
