,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,11:24,Cowboys,Tim Seder 33 yard field goal,0,3
1,1.0,6:25,Cowboys,Tim Seder 19 yard field goal,0,6
2,2.0,7:57,Redskins,Stephen Davis 1 yard rush (Eddie Murray kick),7,6
3,2.0,5:42,Cowboys,Wane McGarity 22 yard rush (pass failed),7,12
4,3.0,11:22,Cowboys,Emmitt Smith 2 yard rush (Tim Seder kick),7,19
5,3.0,3:16,Cowboys,Tim Seder 20 yard field goal,7,22
6,4.0,7:32,Cowboys,Jason Tucker 17 yard rush (Tim Seder kick),7,29
7,4.0,4:02,Redskins,Irving Fryar 32 yard pass from Jeff George (pass failed),13,29
8,4.0,1:55,Cowboys,Tim Seder 43 yard field goal,13,32
