,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,6:05,Vikings,Gary Anderson 20 yard field goal,3,0
1,3.0,10:34,Vikings,Andrew Jordan 3 yard pass from Daunte Culpepper (Gary Anderson kick),10,0
2,3.0,6:15,Bears,Paul Edinger 45 yard field goal,10,3
3,4.0,9:29,Bears,Marty Booker 15 yard pass from Jim Miller (Paul Edinger kick),10,10
4,4.0,3:39,Bears,Marcus Robinson 24 yard pass from Jim Miller (Paul Edinger kick),10,17
