,Quarter,Tm,Detail,CLE,CIN
0,1.0,Bengals,Jim Breech 23 yard field goal,0,3
1,2.0,Browns,Kevin Mack 4 yard rush (Matt Stover kick),7,3
2,2.0,Browns,Kevin Mack 2 yard rush (Matt Stover kick),14,3
3,2.0,Bengals,Mike Dingle 2 yard pass from Boomer Esiason (Jim Breech kick),14,10
4,2.0,Bengals,Jim Breech 38 yard field goal,14,13
5,3.0,Bengals,Eddie Brown 34 yard pass from Boomer Esiason (Jim Breech kick),14,20
6,3.0,Browns,Kevin Mack 2 yard rush (Matt Stover kick),21,20
7,4.0,Bengals,Jim Breech 38 yard field goal,21,23
