,Quarter,Tm,Detail,ATL,WAS
0,1.0,Falcons,Norm Johnson 31 yard field goal,3,0
1,1.0,Redskins,Terry Orr 9 yard pass from Mark Rypien (Chip Lohmiller kick),3,7
2,2.0,Redskins,Gary Clark 61 yard pass from Mark Rypien (Chip Lohmiller kick),3,14
3,2.0,Redskins,Mark Rypien 4 yard rush (Chip Lohmiller kick),3,21
4,2.0,Redskins,Gary Clark 19 yard pass from Mark Rypien (Chip Lohmiller kick),3,28
5,3.0,Falcons,Michael Haynes 75 yard pass from Billy Joe Tolliver (Norm Johnson kick),10,28
6,3.0,Falcons,Andre Rison 15 yard pass from Billy Joe Tolliver (Norm Johnson kick),17,28
7,3.0,Redskins,Art Monk 19 yard pass from Mark Rypien (Chip Lohmiller kick),17,35
8,4.0,Redskins,Gary Clark 82 yard pass from Mark Rypien (Chip Lohmiller kick),17,42
9,4.0,Redskins,Art Monk 64 yard pass from Mark Rypien (Chip Lohmiller kick),17,49
10,4.0,Redskins,Andre Collins 15 yard interception return (Chip Lohmiller kick),17,56
