,Quarter,Tm,Detail,SFO,NOR
0,2.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),7,0
1,2.0,Saints,Morten Andersen 27 yard field goal,7,3
2,3.0,49ers,Earl Cooper 19 yard pass from Joe Montana (Ray Wersching kick),14,3
3,3.0,49ers,Freddie Solomon 28 yard pass from Joe Montana (Ray Wersching kick),21,3
4,4.0,49ers,Todd Shell 53 yard interception return (Ray Wersching kick),28,3
5,4.0,49ers,Bill Ring 1 yard rush (Ray Wersching kick),35,3
