,Quarter,Tm,Detail,CRD,PIT
0,1.0,Cardinals,Frank McNally 51 yard fumble return,6,0
1,2.0,Cardinals,Hal Moe 35 yard pass from Joe Lillard (Joe Lillard kick),13,0
2,2.0,Pirates,Marty Kottler 99 yard interception return (Mose Kelsch kick),13,7
3,4.0,Pirates,Paul Moss 11 yard pass from Bill Tanguay (Mose Kelsch kick),13,14
