,Quarter,Tm,Detail,CIN,HOU
0,1.0,Oilers,Skip Butler 28 yard field goal,0,3
1,1.0,Bengals,Horst Muhlmann 46 yard field goal,3,3
2,2.0,Oilers,Fred Willis 13 yard pass from Kent Nix (Skip Butler kick),3,10
3,2.0,Bengals,Ken Anderson 3 yard rush (Horst Muhlmann kick),10,10
4,2.0,Bengals,Horst Muhlmann 24 yard field goal,13,10
5,2.0,Bengals,Horst Muhlmann 51 yard field goal,16,10
6,3.0,Bengals,Horst Muhlmann 32 yard field goal,19,10
7,3.0,Bengals,Doug Dressler 43 yard rush (Horst Muhlmann kick),26,10
8,3.0,Bengals,Doug Dressler 1 yard rush (Horst Muhlmann kick),33,10
9,4.0,Bengals,Doug Dressler 20 yard pass from Ken Anderson (Horst Muhlmann kick),40,10
10,4.0,Bengals,Lemar Parrish 25 yard interception return (Horst Muhlmann kick),47,10
11,4.0,Bengals,Lemar Parrish 33 yard interception return (Horst Muhlmann kick),54,10
12,4.0,Bengals,Neal Craig 63 yard interception return (Horst Muhlmann kick),61,10
13,4.0,Oilers,Ken Burrough 3 yard pass from Kent Nix (Skip Butler kick),61,17
