,Quarter,Tm,Detail,SDG,KAN
0,2.0,Chargers,Bo Matthews 1 yard rush (Dennis Partee kick),7,0
1,4.0,Chiefs,Larry Brunson 84 yard pass from Len Dawson (Jan Stenerud kick),7,7
2,4.0,Chargers,Gary Garrison 71 yard pass from Jesse Freitas (Dennis Partee kick),14,7
