,Quarter,Tm,Detail,BUF,BOS
0,1.0,Bills,Grant Guthrie 20 yard field goal,3,0
1,1.0,Bills,Greg Jones 2 yard rush (Grant Guthrie kick),10,0
2,2.0,Bills,O.J. Simpson 56 yard rush (Grant Guthrie kick),17,0
3,2.0,Bills,Edgar Chandler 58 yard interception return (Grant Guthrie kick),24,0
4,2.0,Bills,Bill Enyart 37 yard pass from Dennis Shaw (Grant Guthrie kick),31,0
5,3.0,Patriots,Charlie Gogolak 32 yard field goal,31,3
6,4.0,Bills,Haven Moses 13 yard pass from James Harris (Grant Guthrie kick),38,3
7,4.0,Patriots,Jim Nance 19 yard rush (Charlie Gogolak kick),38,10
8,4.0,Bills,Greg Jones 52 yard kickoff return (Grant Guthrie kick),45,10
