,Quarter,Time,Tm,Detail,CAR,MIN
0,1.0,14:43,Panthers,Steve Smith 93 yard kickoff return (John Kasay kick),7,0
1,2.0,11:43,Panthers,John Kasay 23 yard field goal,10,0
2,3.0,9:09,Vikings,Daunte Culpepper 7 yard rush (Gary Anderson kick),10,7
3,3.0,6:05,Vikings,Cris Carter 12 yard pass from Daunte Culpepper (Gary Anderson kick failed),10,13
4,3.0,2:53,Panthers,Muhsin Muhammad 16 yard pass from Chris Weinke (John Kasay kick),17,13
5,4.0,9:52,Panthers,Chris Weinke 1 yard rush (John Kasay kick),24,13
