,Quarter,Time,Tm,Detail,KAN,CIN
0,1.0,1:41,Bengals,Shayne Graham 38 yard field goal,0,3
1,2.0,10:57,Bengals,Cedric Benson 2 yard rush (Shayne Graham kick),0,10
2,2.0,1:47,Bengals,Shayne Graham 30 yard field goal,0,13
3,4.0,6:21,Bengals,Shayne Graham 43 yard field goal,0,16
4,4.0,2:20,Chiefs,Tony Gonzalez 5 yard pass from Tyler Thigpen (pass failed),6,16
