,Quarter,Tm,Detail,SEA,OAK
0,1.0,Raiders,Errol Mann 35 yard field goal,0,3
1,2.0,Raiders,Fred Biletnikoff 3 yard pass from Ken Stabler (Errol Mann kick),0,10
2,2.0,Raiders,Errol Mann 39 yard field goal,0,13
3,2.0,Raiders,Clarence Davis 2 yard rush (Errol Mann kick),0,20
4,2.0,Raiders,Mike Siani 12 yard pass from Ken Stabler (Errol Mann kick),0,27
5,3.0,Raiders,Errol Mann 37 yard field goal,0,30
6,3.0,Raiders,Dave Casper 15 yard pass from Ken Stabler (Errol Mann kick),0,37
7,3.0,Seahawks,Sherman Smith 16 yard rush (John Leypoldt kick),7,37
8,4.0,Raiders,Terry Robiskie 1 yard rush (Errol Mann kick),7,44
