,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Jim Breech 27 yard field goal,0,3
1,1.0,Bengals,Pete Johnson 3 yard rush (Jim Breech kick),0,10
2,2.0,Bengals,Jim Breech 23 yard field goal,0,13
3,3.0,Bengals,David Verser 73 yard pass from Ken Anderson (Jim Breech kick),0,20
4,3.0,Bengals,Charles Alexander 3 yard rush (Jim Breech kick),0,27
5,4.0,Bengals,Pete Johnson 5 yard pass from Ken Anderson (Jim Breech kick),0,34
6,4.0,Steelers,Jim Smith 17 yard pass from Terry Bradshaw (David Trout kick),7,34
