,Quarter,Tm,Detail,SFO,ATL
0,2.0,Falcons,Nick Mike-Mayer 22 yard field goal,0,3
1,2.0,49ers,Delvin Williams 4 yard rush,6,3
2,2.0,Falcons,Alfred Jenkins 20 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),6,10
3,2.0,49ers,Steve Mike-Mayer 26 yard field goal,9,10
4,3.0,Falcons,Dave Hampton 6 yard rush (Nick Mike-Mayer kick),9,17
5,3.0,Falcons,Alfred Jenkins 63 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),9,24
6,4.0,Falcons,Wallace Francis 41 yard pass from Haskel Stanback (Nick Mike-Mayer kick),9,31
