,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Bob Mann 64 yard pass from Frank Tripucka (Bill Dudley kick),0,7
1,2.0,Packers,Glenn Johnson fumble recovery in end zone (Ted Fritsch kick),7,7
2,4.0,Lions,Bob Mann 41 yard pass from Frank Tripucka (Bill Dudley kick),7,14
3,4.0,Lions,Bill Dudley 67 yard punt return (Bill Dudley kick),7,21
