,Quarter,Tm,Detail,PIT,GNB
0,1.0,Packers,Clarke Hinkle 1 yard rush (Bob Monnett kick),0,7
1,2.0,Packers,Bob Monnett 7 yard rush,0,13
2,2.0,Packers,Buckets Goldenberg 67 yard interception return (Roger Grove kick),0,20
3,2.0,Packers,Buckets Goldenberg 3 yard rush (Bob Monnett kick),0,27
4,3.0,Packers,Hank Bruder 52 yard rush (Arnie Herber kick),0,34
5,3.0,Packers,Bob Monnett 12 yard rush,0,40
6,4.0,Packers,Wuert Engelmann 40 yard touchdown on a lateral (Bob Monnett kick),0,47
