,Quarter,Tm,Detail,WAS,NYG
0,2.0,Giants,Stephen Baker 4 yard pass from Phil Simms (Matt Bahr kick),0,7
1,2.0,Giants,Mark Bavaro 13 yard pass from Phil Simms (Matt Bahr kick),0,14
2,2.0,Redskins,Chip Lohmiller 45 yard field goal,3,14
3,3.0,Redskins,Stan Humphries 5 yard rush (Chip Lohmiller kick),10,14
4,4.0,Giants,Everson Walls 28 yard interception return (Matt Bahr kick),10,21
