,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Morten Andersen 32 yard field goal,3,0
1,1.0,Saints,Dalton Hilliard 38 yard pass from Bobby Hebert (Morten Andersen kick),10,0
2,2.0,Saints,John Tice 23 yard pass from Dalton Hilliard (Morten Andersen kick),17,0
3,2.0,Rams,Damone Johnson 8 yard pass from Jim Everett (Mike Lansford kick),17,7
4,3.0,Rams,Greg Bell 32 yard pass from Jim Everett (Mike Lansford kick),17,14
5,3.0,Saints,Rueben Mayes 2 yard rush (Morten Andersen kick),24,14
6,4.0,Saints,Lonzell Hill 3 yard pass from Bobby Hebert (Morten Andersen kick),31,14
