,Quarter,Tm,Detail,NWE,PIT
0,1.0,Steelers,Gary Anderson 21 yard field goal,0,3
1,1.0,Steelers,Frank Pollard 1 yard rush (Gary Anderson kick),0,10
2,2.0,Steelers,John Stallworth 9 yard pass from Terry Bradshaw (Gary Anderson kick),0,17
3,2.0,Steelers,Gary Anderson 25 yard field goal,0,20
4,3.0,Patriots,Lin Dawson 23 yard pass from Matt Cavanaugh (John Smith kick),7,20
5,4.0,Steelers,Gary Anderson 44 yard field goal,7,23
6,4.0,Patriots,Stanley Morgan 75 yard pass from Matt Cavanaugh (John Smith kick),14,23
7,4.0,Steelers,Greg Hawthorne 46 yard pass from Terry Bradshaw (Gary Anderson kick),14,30
8,4.0,Steelers,Walter Abercrombie 1 yard rush (Gary Anderson kick),14,37
