,Quarter,Time,Tm,Detail,NOR,CAR
0,1.0,8:57,Saints,Cam Cleeland 11 yard pass from Aaron Brooks (John Carney kick),7,0
1,1.0,5:39,Saints,John Carney 30 yard field goal,10,0
2,2.0,12:49,Saints,Cam Cleeland 16 yard pass from Aaron Brooks (John Carney kick),17,0
3,2.0,3:59,Panthers,John Kasay 46 yard field goal,17,3
4,2.0,1:02,Panthers,John Kasay 52 yard field goal,17,6
5,3.0,4:34,Panthers,Donald Hayes 9 yard pass from Chris Weinke (pass failed),17,12
6,3.0,0:06,Saints,John Carney 39 yard field goal,20,12
7,4.0,3:42,Panthers,Wesley Walls 23 yard pass from Chris Weinke (pass failed),20,18
8,4.0,1:48,Panthers,Steve Smith 70 yard punt return (John Kasay kick),20,25
9,4.0,0:00,Saints,Ricky Williams 1 yard rush (John Carney kick),27,25
