,Quarter,Tm,Detail,CLE,CRD
0,1.0,Browns,Jim Brown 7 yard rush (Lou Groza kick),7,0
1,1.0,Cardinals,Lamar McHan 1 yard rush (Bobby Joe Conrad kick),7,7
2,1.0,Browns,Lou Groza 12 yard field goal,10,7
3,2.0,Cardinals,Gern Nagler 7 yard pass from Lamar McHan (Bobby Joe Conrad kick),10,14
4,2.0,Browns,Leroy Bolden 102 yard kickoff return (Lou Groza kick),17,14
5,2.0,Cardinals,Joe Childress 23 yard touchdown on a lateral (Bobby Joe Conrad kick),17,21
6,3.0,Cardinals,Bobby Joe Conrad 32 yard field goal,17,24
7,3.0,Browns,Jim Brown 41 yard rush (Lou Groza kick),24,24
8,3.0,Browns,Jim Brown 62 yard rush (Lou Groza kick),31,24
9,4.0,Browns,Jim Brown 2 yard rush (Lou Groza kick),38,24
