,Quarter,Tm,Detail,NYG,PIT
0,1.0,Steelers,John Reger 14 yard fumble return (Gary Glick kick),0,7
1,2.0,Giants,Frank Gifford 40 yard pass from Charlie Conerly (Ben Agajanian kick),7,7
2,2.0,Steelers,Earl Morrall 2 yard rush (Gary Glick kick),7,14
3,3.0,Giants,Ben Agajanian 12 yard field goal,10,14
4,4.0,Steelers,Elbie Nickel 5 yard pass from Earl Morrall (Gary Glick kick),10,21
