,Quarter,Tm,Detail,SDG,KAN
0,1.0,Chiefs,J.J. Birden 90 yard pass from Steve DeBerg (Nick Lowery kick),0,7
1,1.0,Chiefs,Nick Lowery 36 yard field goal,0,10
2,1.0,Chargers,John Carney 42 yard field goal,3,10
3,2.0,Chiefs,Bill Jones 2 yard pass from Steve DeBerg (Nick Lowery kick),3,17
4,3.0,Chargers,Derrick Walker 2 yard pass from Billy Joe Tolliver (John Carney kick),10,17
5,3.0,Chiefs,Nick Lowery 37 yard field goal,10,20
6,4.0,Chiefs,Bill Jones 6 yard pass from Steve DeBerg (Nick Lowery kick),10,27
