,Quarter,Tm,Detail,NYJ,BUF
0,2.0,Bills,Charles Romes 85 yard interception return (Tom Dempsey kick),0,7
1,2.0,Jets,Jerome Barkum 14 yard pass from Richard Todd (Pat Leahy kick),7,7
2,3.0,Jets,Derrick Gaffney 36 yard pass from Richard Todd (Pat Leahy kick),14,7
3,4.0,Bills,Reuben Gant 11 yard pass from Joe Ferguson,14,13
4,4.0,Bills,Larry Walton 32 yard pass from Joe Ferguson (Tom Dempsey kick),14,20
5,4.0,Jets,Jerome Barkum 3 yard pass from Richard Todd (Pat Leahy kick),21,20
