,Quarter,Tm,Detail,CHI,PIT
0,2.0,Bears,Bill Osmanski 21 yard rush (Joe Stydahar kick),7,0
1,2.0,Bears,Eggs Manske 24 yard pass from Bernie Masterson,13,0
2,3.0,Bears,Joe Maniaci 75 yard rush,19,0
3,3.0,Bears,Joe Maniaci 4 yard rush (Jack Manders kick),26,0
4,4.0,Bears,Bob MacLeod 29 yard pass from Billy Patterson,32,0
