,Quarter,Tm,Detail,SIS,CHI
0,1.0,Bears,Red Grange unknown yard pass from Keith Molesworth (Tiny Engebretsen kick),0,7
1,2.0,Bears,Bronko Nagurski unknown yard rush,0,13
2,3.0,Bears,Bronko Nagurski unknown yard rush (Tiny Engebretsen kick),0,20
3,4.0,Stapletons,Grassy Hinton unknown yard rush (Ken Strong kick),7,20
4,4.0,Bears,Dick Nesbitt unknown yard rush (Cookie Tackwell kick),7,27
