,Quarter,Tm,Detail,SFO,SDG
0,1.0,49ers,Jerry Rice 96 yard pass from Joe Montana (Mike Cofer kick),7,0
1,2.0,49ers,Roger Craig 1 yard rush (Mike Cofer kick),14,0
2,2.0,Chargers,Mark Malone 36 yard rush (Steve DeLine kick),14,7
3,2.0,49ers,Roger Craig 2 yard pass from Joe Montana (Mike Cofer kick),21,7
4,2.0,49ers,Mike Cofer 45 yard field goal,24,7
5,3.0,49ers,Jerry Rice 41 yard pass from Joe Montana (Mike Cofer kick),31,7
6,3.0,Chargers,Steve DeLine 23 yard field goal,31,10
7,3.0,49ers,Roger Craig 7 yard rush (Mike Cofer kick),38,10
8,4.0,49ers,Mike Cofer 32 yard field goal,41,10
9,4.0,49ers,Doug DuBose 37 yard rush (Mike Cofer kick),48,10
