,Quarter,Time,Tm,Detail,CLE,HOU
0,1.0,9:50,Texans,Ben Tate 27 yard rush (Neil Rackers kick),0,7
1,1.0,7:11,Texans,Matt Schaub 2 yard rush (Neil Rackers kick),0,14
2,1.0,3:43,Browns,Phil Dawson 50 yard field goal,3,14
3,2.0,8:06,Texans,Arian Foster 19 yard rush (Neil Rackers kick),3,21
4,2.0,0:00,Texans,Neil Rackers 28 yard field goal,3,24
5,3.0,5:45,Texans,Neil Rackers 21 yard field goal,3,27
6,3.0,2:08,Browns,Phil Dawson 51 yard field goal,6,27
7,4.0,10:35,Texans,Neil Rackers 50 yard field goal,6,30
8,4.0,4:47,Browns,Josh Cribbs 2 yard pass from Colt McCoy (run failed),12,30
