,Quarter,Time,Tm,Detail,SEA,DAL
0,1.0,12:36,Cowboys,Martellus Bennett 16 yard pass from Tony Romo (Nick Folk kick),0,7
1,1.0,4:50,Cowboys,Marion Barber III 2 yard rush (Nick Folk kick),0,14
2,1.0,0:52,Seahawks,Olindo Mare 44 yard field goal,3,14
3,2.0,11:57,Cowboys,Jason Witten 7 yard pass from Tony Romo (Nick Folk kick),3,21
4,2.0,7:34,Cowboys,Nick Folk 41 yard field goal,3,24
5,2.0,1:31,Seahawks,Olindo Mare 38 yard field goal,6,24
6,3.0,9:37,Seahawks,Olindo Mare 25 yard field goal,9,24
7,3.0,2:19,Cowboys,Terrell Owens 19 yard pass from Tony Romo (Nick Folk kick),9,31
8,4.0,8:54,Cowboys,Nick Folk 42 yard field goal,9,34
