,Quarter,Tm,Detail,PHI,BKN
0,1.0,Dodgers,Scrapper Farrell 1 yard rush (Ralph Kercheval kick),0,7
1,2.0,Dodgers,Scrapper Farrell 1 yard rush,0,13
2,2.0,Dodgers,Wendell Butcher 1 yard rush (Ralph Kercheval kick),0,20
3,3.0,Eagles,Dave Smukler 101 yard kickoff return (Jay Arnold kick),7,20
4,3.0,Eagles,Bill Hewitt 27 yard pass from Emmett Mortell (Jay Arnold kick),14,20
5,4.0,Dodgers,Ralph Kercheval 35 yard field goal,14,23
6,4.0,Dodgers,"Safety, Kinard blocked punt out of end zone",14,25
7,4.0,Dodgers,Jim Austin 4 yard pass from Ace Parker (Ralph Kercheval kick),14,32
