,Quarter,Tm,Detail,SEA,NWE
0,1.0,Seahawks,Brian Blades 4 yard pass from Rick Mirer (John Kasay kick),7,0
1,3.0,Seahawks,John Kasay 24 yard field goal,10,0
2,3.0,Seahawks,Chris Warren 15 yard rush (John Kasay kick),17,0
3,4.0,Patriots,Ben Coates 25 yard pass from Drew Bledsoe (Scott Sisson kick),17,7
4,4.0,Patriots,Sam Gash 4 yard rush (Scott Sisson kick),17,14
