,Quarter,Tm,Detail,PHI,STL
0,1.0,Eagles,Horst Muhlmann 45 yard field goal,3,0
1,1.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),3,7
2,2.0,Eagles,Charlie Smith 11 yard pass from Roman Gabriel (Horst Muhlmann kick),10,7
3,2.0,Cardinals,Jackie Smith 30 yard pass from Jim Hart (Jim Bakken kick),10,14
4,3.0,Cardinals,Jim Bakken 24 yard field goal,10,17
5,3.0,Cardinals,Jim Otis 5 yard rush (Jim Bakken kick),10,24
6,4.0,Eagles,Horst Muhlmann 40 yard field goal,13,24
7,4.0,Eagles,Harold Carmichael 15 yard pass from Roman Gabriel (Horst Muhlmann kick),20,24
8,4.0,Cardinals,Eddie Moss 5 yard rush (Jim Bakken kick),20,31
