,Quarter,Time,Tm,Detail,NYG,ATL
0,1.0,10:07,Giants,Ron Dayne 2 yard rush (Jaret Holmes kick),7,0
1,1.0,0:08,Giants,Jaret Holmes 34 yard field goal,10,0
2,2.0,5:25,Falcons,Morten Andersen 42 yard field goal,10,3
3,2.0,0:00,Giants,Jaret Holmes 27 yard field goal,13,3
4,3.0,9:22,Falcons,Morten Andersen 28 yard field goal,13,6
