,Quarter,Tm,Detail,BUF,MIA
0,1.0,Dolphins,Don Strock 4 yard rush (Garo Yepremian kick),0,7
1,2.0,Dolphins,Howard Twilley 8 yard pass from Don Strock (Garo Yepremian kick),0,14
2,2.0,Dolphins,Howard Twilley 1 yard pass from Don Strock (Garo Yepremian kick),0,21
3,3.0,Bills,O.J. Simpson 14 yard rush (John Leypoldt kick),7,21
4,3.0,Dolphins,Garo Yepremian 20 yard field goal,7,24
5,3.0,Bills,J.D. Hill 31 yard pass from Joe Ferguson (John Leypoldt kick),14,24
6,4.0,Bills,O.J. Simpson 62 yard pass from Joe Ferguson (John Leypoldt kick),21,24
7,4.0,Dolphins,Norm Bulaich 1 yard rush (Garo Yepremian kick),21,31
