,Quarter,Time,Tm,Detail,CHI,MIN
0,1.0,8:04,Bears,Devin Hester 65 yard pass from Kyle Orton (Robbie Gould kick),7,0
1,2.0,12:45,Vikings,Ryan Longwell 23 yard field goal,7,3
2,2.0,4:48,Vikings,Bernard Berrian 99 yard pass from Gus Frerotte (Ryan Longwell kick),7,10
3,2.0,0:48,Vikings,Gus Frerotte 1 yard rush (Ryan Longwell kick),7,17
4,3.0,8:53,Bears,Matt Forte 2 yard pass from Kyle Orton (Robbie Gould kick),14,17
5,3.0,4:27,Vikings,Chester Taylor 21 yard rush (Ryan Longwell kick),14,24
6,4.0,8:25,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),14,31
7,4.0,4:18,Vikings,Ryan Longwell 27 yard field goal,14,34
