,Quarter,Tm,Detail,DEN,DET
0,1.0,Lions,Rick Kane 2 yard rush (Benny Ricardo kick),0,7
1,1.0,Broncos,Riley Odoms 10 yard pass from Craig Morton (Jim Turner kick),7,7
2,3.0,Lions,Benny Ricardo 19 yard field goal,7,10
3,3.0,Broncos,Larry Canada 2 yard rush (Jim Turner kick),14,10
4,4.0,Lions,Horace King 1 yard rush (Benny Ricardo kick),14,17
