,Quarter,Tm,Detail,FRN,GNB
0,1.0,Packers,Herdis McCrary 34 yard rush (Red Dunn kick),0,7
1,1.0,Packers,Wuert Engelmann 33 yard pass from Red Dunn (Red Dunn kick),0,14
2,1.0,Packers,Lavvie Dilweg 50 yard interception return,0,20
3,3.0,Yellow Jackets,Tony Kostos 24 yard pass from Ab Wright,6,20
4,4.0,Yellow Jackets,Bob Tanner unknown yard pass from Ab Wright,12,20
5,4.0,Packers,Herdis McCrary 8 yard rush (Red Dunn kick),12,27
