,Quarter,Tm,Detail,MIN,DET
0,1.0,Vikings,Red Phillips 30 yard pass from Fran Tarkenton (Fred Cox kick),7,0
1,2.0,Lions,Garo Yepremian 44 yard field goal,7,3
2,2.0,Vikings,Paul Flatley 22 yard pass from Fran Tarkenton (Fred Cox kick),14,3
3,2.0,Vikings,Bill Brown 1 yard rush (Fred Cox kick),21,3
4,2.0,Lions,Garo Yepremian 30 yard field goal,21,6
5,3.0,Lions,Garo Yepremian 17 yard field goal,21,9
6,3.0,Vikings,Preston Carpenter 11 yard pass from Fran Tarkenton (Fred Cox kick),28,9
7,4.0,Lions,Karl Sweetan 15 yard rush (Garo Yepremian kick),28,16
