,Quarter,Tm,Detail,DAL,MIN
0,1.0,Cowboys,Mike Clark 26 yard field goal,3,0
1,2.0,Vikings,Fred Cox 27 yard field goal,3,3
2,2.0,Cowboys,Mike Clark 44 yard field goal,6,3
3,3.0,Cowboys,Duane Thomas 13 yard rush (Mike Clark kick),13,3
4,3.0,Cowboys,Bob Hayes 9 yard pass from Roger Staubach (Mike Clark kick),20,3
5,4.0,Vikings,"Safety, Page tackled Staubach in end zone",20,5
6,4.0,Vikings,Stu Voigt 6 yard pass from Gary Cuozzo (Fred Cox kick),20,12
