,Quarter,Time,Tm,Detail,MIA,BUF
0,1.0,,Bills,Steve Christie 20 yard field goal,0,3
1,2.0,,Bills,Steve Christie 24 yard field goal,0,6
2,2.0,,Dolphins,Pete Stoyanovich 50 yard field goal,3,6
3,2.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),3,13
4,3.0,,Dolphins,Pete Stoyanovich 30 yard field goal,6,13
5,3.0,7:51,Dolphins,Eric Green 25 yard pass from Dan Marino (Pete Stoyanovich kick),13,13
6,3.0,7:51,Bills,Thurman Thomas 11 yard pass from Jim Kelly (Steve Christie kick),13,20
7,4.0,7:51,Dolphins,Bernie Parmalee 5 yard rush (Pete Stoyanovich kick),20,20
8,4.0,7:51,Bills,Steve Christie 25 yard field goal,20,23
