,Quarter,Time,Tm,Detail,CLE,CIN
0,1.0,9:28,Bengals,Neil Rackers 27 yard field goal,0,3
1,1.0,3:10,Browns,Kevin Johnson 30 yard pass from Tim Couch (Phil Dawson kick),7,3
2,3.0,9:35,Bengals,Darnay Scott 5 yard pass from Jon Kitna (Neil Rackers kick),7,10
3,3.0,6:28,Bengals,Neil Rackers 42 yard field goal,7,13
4,4.0,14:17,Bengals,Corey Dillon 5 yard rush (Ron Dugans pass from Jon Kitna),7,21
5,4.0,1:55,Bengals,Neil Rackers 21 yard field goal,7,24
6,4.0,0:36,Browns,Mike Sellers 3 yard pass from Tim Couch (Phil Dawson kick),14,24
