,Quarter,Tm,Detail,PIT,WAS
0,1.0,Steelers,Red Mack 10 yard pass from Bobby Layne (Lou Michaels kick),7,0
1,2.0,Redskins,Fred Dugan 9 yard pass from Norm Snead (John Aveni kick),7,7
2,2.0,Steelers,Lou Michaels 42 yard field goal,10,7
3,3.0,Steelers,Preston Carpenter 40 yard pass from Bobby Layne (Lou Michaels kick),17,7
4,3.0,Steelers,Red Mack 6 yard pass from Bobby Layne (Lou Michaels kick),24,7
5,4.0,Redskins,Fred Dugan 11 yard pass from George Izo (John Aveni kick),24,14
6,4.0,Steelers,Buddy Dial 5 yard pass from Bobby Layne,30,14
