,Quarter,Time,Tm,Detail,PIT,CLE
0,1.0,,Browns,Walter Reeves 1 yard pass from Vinny Testaverde (Matt Stover kick),0,7
1,2.0,,Browns,Matt Stover 23 yard field goal,0,10
2,2.0,,Steelers,Yancey Thigpen 31 yard pass from Neil O'Donnell (Gary Anderson kick),7,10
3,2.0,,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),14,10
4,4.0,,Steelers,Gary Anderson 25 yard field goal,17,10
