,Quarter,Tm,Detail,WAS,BAL
0,2.0,Colts,Bert Rechichar 50 yard field goal,0,3
1,3.0,Colts,Bert Rechichar 27 yard field goal,0,6
2,3.0,Redskins,Eddie LeBaron 1 yard rush (Vic Janowicz kick),7,6
3,3.0,Colts,Alan Ameche 3 yard rush (Bert Rechichar kick),7,13
4,4.0,Redskins,Eddie LeBaron 1 yard rush (Vic Janowicz kick),14,13
