,Quarter,Tm,Detail,STL,NYG
0,1.0,Giants,Doug Kotar 1 yard rush (Joe Danelo kick),0,7
1,1.0,Giants,Ernie Jones 31 yard interception return (Joe Danelo kick),0,14
2,2.0,Cardinals,Theotis Brown 1 yard rush (Mike Wood kick),7,14
3,2.0,Cardinals,Mark Arneson 29 yard defensive fumble return (Mike Wood kick),14,14
4,3.0,Cardinals,Wayne Morris 2 yard rush (Mike Wood kick),21,14
5,3.0,Cardinals,Al Chandler 28 yard pass from Jim Hart,27,14
