,Quarter,Tm,Detail,DAL,PHI
0,2.0,Cowboys,Doug Dennison 3 yard rush (Mac Percival kick),7,0
1,3.0,Eagles,Joe Lavender 96 yard defensive fumble return (Tom Dempsey kick),7,7
2,4.0,Eagles,Tom Dempsey 33 yard field goal,7,10
3,4.0,Cowboys,Mac Percival 26 yard field goal,10,10
4,4.0,Eagles,Tom Dempsey 45 yard field goal,10,13
