,Quarter,Tm,Detail,CLE,PIT
0,1.0,Browns,Lou Groza 24 yard field goal,3,0
1,2.0,Browns,Bobby Mitchell 6 yard rush (Lou Groza kick),10,0
2,3.0,Steelers,Buddy Dial 12 yard pass from Rudy Bukich (Lou Michaels kick),10,7
3,3.0,Steelers,Tom Tracy 1 yard rush (Lou Michaels kick),10,14
4,3.0,Browns,Lou Groza 36 yard field goal,13,14
5,4.0,Browns,Bobby Mitchell 9 yard rush (Lou Groza kick),20,14
6,4.0,Steelers,Tom Tracy 1 yard rush (Lou Michaels kick),20,21
7,4.0,Browns,Bobby Mitchell 18 yard rush (Lou Groza kick),27,21
8,4.0,Browns,Lou Groza 12 yard field goal,30,21
9,4.0,Steelers,Buddy Dial 88 yard pass from Rudy Bukich (Lou Michaels kick),30,28
