,Quarter,Tm,Detail,IND,DEN
0,1.0,Broncos,Robert Delpino 2 yard rush (Jason Elam kick),0,7
1,1.0,Broncos,Rod Bernstine 9 yard rush (Jason Elam kick),0,14
2,1.0,Broncos,Glyn Milburn 3 yard pass from John Elway (Jason Elam kick),0,21
3,2.0,Broncos,Shannon Sharpe 22 yard pass from John Elway (Jason Elam kick),0,28
4,2.0,Colts,Dean Biasucci 28 yard field goal,3,28
5,2.0,Colts,Kerry Cash 4 yard pass from Jack Trudeau (Dean Biasucci kick),10,28
6,3.0,Colts,Dean Biasucci 28 yard field goal,13,28
7,3.0,Broncos,Derek Russell 30 yard pass from Arthur Marshall (Jason Elam kick),13,35
