,Quarter,Tm,Detail,DET,GNB
0,1.0,Lions,Jim Doran 38 yard pass from Bobby Layne (Doak Walker kick),7,0
1,2.0,Packers,Fred Cone 30 yard field goal,7,3
2,2.0,Packers,Fred Cone 34 yard field goal,7,6
3,2.0,Lions,Gil Mains fumble recovery in end zone (Doak Walker kick),14,6
4,3.0,Lions,Doak Walker 12 yard field goal,17,6
5,3.0,Packers,Breezy Reid 4 yard rush (Fred Cone kick),17,13
6,4.0,Packers,Gary Knafelc 18 yard pass from Tobin Rote (Fred Cone kick),17,20
