,Quarter,Tm,Detail,OOR,CHI
0,1.0,Bears,Oscar Knop 5 yard rush (Dutch Sternaman kick),0,7
1,1.0,Bears,Jake Lanum 5 yard rush,0,13
2,2.0,Bears,Dutch Sternaman 16 yard rush (Dutch Sternaman kick),0,20
3,2.0,Bears,George Halas 98 yard fumble return,0,26
